iter	Passed	Remaining
0	136	136371
1	137	68470
2	137	45802
3	138	34466
4	139	27671
5	139	23133
6	140	19892
7	140	17458
8	141	15566
9	142	14071
10	142	12842
11	143	11810
12	143	10932
13	144	10179
14	145	9523
15	145	8949
16	146	8442
17	146	7995
18	147	7592
19	147	7233
20	148	6907
21	148	6610
22	149	6338
23	149	6088
24	150	5859
25	150	5646
26	151	5448
27	151	5265
28	152	5096
29	152	4937
30	153	4789
31	153	4653
32	154	4523
33	154	4400
34	155	4299
35	156	4190
36	157	4087
37	157	3989
38	158	3894
39	158	3805
40	159	3719
41	159	3640
42	160	3563
43	160	3491
44	161	3420
45	161	3352
46	162	3287
47	162	3225
48	163	3165
49	163	3108
50	164	3053
51	164	3000
52	165	2949
53	165	2901
54	166	2855
55	166	2810
56	167	2767
57	167	2724
58	168	2683
59	168	2642
60	169	2604
61	169	2569
62	170	2534
63	170	2499
64	171	2466
65	172	2434
66	172	2402
67	173	2371
68	173	2341
69	174	2311
70	174	2283
71	174	2255
72	175	2228
73	175	2201
74	176	2176
75	176	2151
76	177	2126
77	177	2103
78	178	2080
79	178	2057
80	179	2035
81	179	2014
82	180	1990
83	180	1970
84	181	1950
85	181	1930
86	182	1911
87	182	1892
88	183	1874
89	183	1857
90	184	1841
91	184	1824
92	185	1808
93	185	1792
94	186	1776
95	186	1760
96	187	1745
97	188	1730
98	188	1715
99	189	1701
100	189	1687
101	190	1673
102	190	1660
103	191	1646
104	191	1633
105	192	1620
106	192	1608
107	193	1595
108	193	1583
109	194	1571
110	194	1559
111	195	1547
112	195	1535
113	196	1524
114	196	1513
115	197	1502
116	197	1492
117	198	1482
118	198	1471
119	199	1461
120	199	1451
121	200	1441
122	200	1431
123	201	1422
124	201	1412
125	202	1403
126	202	1393
127	203	1384
128	203	1376
129	204	1367
130	204	1358
131	205	1350
132	205	1341
133	206	1333
134	206	1325
135	207	1317
136	207	1309
137	208	1301
138	208	1294
139	209	1286
140	209	1279
141	210	1270
142	210	1263
143	211	1257
144	212	1250
145	212	1243
146	213	1236
147	213	1229
148	214	1222
149	214	1215
150	215	1209
151	215	1202
152	216	1196
153	216	1189
154	217	1183
155	217	1177
156	218	1170
157	218	1164
158	219	1158
159	219	1152
160	219	1145
161	220	1139
162	220	1133
163	221	1128
164	221	1123
165	222	1117
166	222	1111
167	223	1106
168	223	1100
169	224	1095
170	224	1090
171	225	1085
172	225	1079
173	226	1074
174	226	1069
175	227	1064
176	228	1060
177	228	1055
178	229	1050
179	229	1045
180	230	1041
181	230	1036
182	231	1031
183	231	1026
184	231	1022
185	232	1017
186	232	1012
187	233	1008
188	233	1004
189	234	999
190	234	995
191	235	990
192	235	986
193	236	982
194	236	978
195	237	973
196	237	969
197	238	965
198	238	961
199	239	958
200	240	954
201	240	950
202	241	946
203	241	942
204	242	939
205	242	935
206	243	931
207	243	928
208	244	924
209	244	920
210	245	917
211	245	913
212	246	910
213	246	907
214	247	903
215	247	900
216	248	896
217	248	892
218	249	889
219	249	886
220	250	882
221	250	879
222	251	875
223	251	872
224	252	869
225	252	866
226	253	863
227	253	859
228	254	856
229	254	853
230	255	850
231	255	847
232	256	844
233	256	840
234	257	837
235	257	834
236	258	831
237	258	828
238	259	825
239	259	822
240	260	819
241	260	816
242	261	813
243	261	810
244	262	808
245	262	805
246	263	802
247	263	799
248	264	796
249	264	793
250	265	791
251	265	788
252	266	785
253	266	783
254	267	780
255	267	778
256	268	775
257	268	773
258	269	770
259	270	768
260	270	766
261	271	763
262	271	761
263	272	758
264	272	756
265	273	753
266	273	751
267	274	748
268	274	746
269	275	744
270	275	741
271	276	739
272	276	736
273	277	734
274	277	732
275	278	729
276	278	727
277	279	725
278	279	722
279	280	720
280	280	718
281	281	716
282	281	713
283	282	711
284	282	709
285	283	707
286	283	704
287	284	702
288	284	700
289	285	698
290	285	696
291	286	693
292	286	691
293	287	689
294	287	687
295	288	685
296	288	683
297	289	681
298	289	679
299	290	677
300	290	674
301	291	672
302	291	670
303	292	668
304	292	666
305	293	664
306	293	662
307	294	660
308	294	658
309	295	656
310	295	654
311	296	653
312	296	651
313	297	649
314	297	647
315	298	645
316	298	643
317	299	641
318	299	639
319	300	637
320	300	635
321	301	633
322	301	632
323	302	630
324	302	628
325	303	626
326	303	624
327	304	622
328	304	621
329	305	619
330	305	617
331	305	615
332	306	613
333	306	612
334	307	610
335	308	608
336	308	606
337	309	605
338	309	603
339	310	601
340	310	600
341	311	598
342	311	596
343	312	594
344	312	593
345	312	591
346	313	589
347	313	588
348	314	586
349	315	585
350	315	583
351	315	581
352	316	580
353	316	578
354	317	576
355	317	575
356	318	573
357	318	571
358	319	570
359	319	568
360	320	567
361	320	565
362	321	564
363	322	562
364	322	561
365	323	559
366	323	558
367	324	556
368	324	555
369	325	553
370	325	552
371	326	550
372	326	549
373	327	547
374	327	546
375	328	544
376	328	543
377	329	541
378	329	540
379	330	538
380	330	537
381	331	535
382	331	534
383	332	532
384	332	531
385	333	530
386	333	528
387	334	527
388	334	525
389	335	524
390	335	523
391	336	521
392	336	520
393	337	518
394	337	517
395	338	516
396	338	514
397	339	513
398	339	511
399	340	510
400	340	509
401	341	507
402	341	506
403	342	505
404	342	503
405	343	502
406	343	500
407	344	499
408	344	498
409	345	496
410	345	495
411	346	494
412	346	492
413	347	491
414	347	490
415	348	488
416	348	487
417	349	486
418	349	484
419	350	483
420	350	482
421	351	481
422	351	480
423	352	478
424	352	477
425	353	476
426	353	474
427	354	473
428	354	472
429	355	471
430	355	469
431	356	468
432	356	467
433	357	465
434	357	464
435	358	463
436	358	462
437	359	461
438	359	459
439	360	458
440	360	457
441	361	456
442	361	454
443	362	453
444	362	452
445	363	451
446	363	450
447	364	449
448	364	447
449	365	446
450	365	445
451	366	444
452	366	443
453	367	441
454	367	440
455	368	439
456	368	438
457	369	437
458	369	435
459	370	434
460	370	433
461	371	432
462	371	431
463	372	430
464	372	429
465	373	427
466	373	426
467	374	425
468	374	424
469	375	423
470	375	422
471	376	421
472	376	419
473	377	418
